STT,Ten_Quan,Don_Hang,Doanh_Thu,Muc_do_tieu_thu
1,Quan 1,5400,15200,Rat cao
2,Quan 3,4200,11800,Cao
3,Quan 4,2100,5600,Trung binh
4,Quan 5,3800,10200,Cao
5,Quan 6,2900,7800,Trung binh
6,Quan 7,4800,13500,Rat cao
7,Quan 8,2500,6900,Trung binh
8,Quan 10,4100,11200,Cao
9,Quan 11,2300,6100,Trung binh
10,Quan 12,3100,8500,Trung binh
11,Quan Binh Thanh,4500,12600,Cao
12,Quan Go Vap,4700,12900,Cao
13,Quan Phu Nhuan,3600,9800,Cao
14,Quan Tan Binh,4400,12100,Cao
15,Quan Tan Phu,3200,8800,Trung binh
16,Quan Binh Tan,3500,9500,Trung binh
17,TP Thu Duc,6200,18500,Rat cao
18,Huyen Binh Chanh,2800,7500,Trung binh
19,Huyen Cu Chi,1500,4100,Thap
20,Huyen Hoc Mon,1900,5200,Thap
21,Huyen Nha Be,1700,4600,Thap
22,Huyen Can Gio,800,2200,Rat thap
23,Khu vuc 1,500,1200,Rat thap
24,Khu vuc 2,650,1800,Rat thap
25,Khu vuc 3,1100,2900,Thap
26,Khu vuc 4,950,2500,Thap
27,Khu vuc 5,1250,3400,Thap
28,Khu vuc 6,1400,3800,Thap
29,Khu vuc 7,750,2000,Rat thap
30,Khu vuc 8,900,2400,Rat thap
